School Name,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,TestsTakers,TestsTaken,OneTest,TwoTests,ThreeTests,FourTests,FiveorMoreTests,Unnamed:9,Score=1,Score=2,Score=3,Score=4,Score=5,PercentScore12,PercentScore35,NumEnrolledGrades09through12,NumDropoutAllGrades,PercentDropoutAllGrades,PercentDropoutGrade09,PercentDropoutGrade10,PercentDropoutGrade11,PercentDropoutGrade12,NuminCohort,PercentGraduated,PercentStillinSchool,PercentNonGradCompleters,PercentHSEquiv,PercentDroppedOut,PercentPermanentlyExcluded,HighSchoolGraduatesNum,AttendingCollUnivNum,AttendingCollUnivPercent,PrivateTwoYearPercent,PrivateFourYearPercent,PublicTwoYearPercent,PublicFourYearPercent,MACommunityCollegePercent,MAStateUniversityPercent,UnivofMassPercent,Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,WFNum,WFPercent,StudentIncluded,CPI,SGP,IncludedInSGP,ReadingWriting,Writing,Math,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Town,School
Acton-Boxborough - Luther Conant School,6000030.0,0.0,60.0,56.0,45.0,47.0,73.0,93.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0, 06000030,2.9,62.7,6.1,24.4,0.0,0.2,3.6,50.5,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,49.0,74.0,25.0,38.0,24.0,36.0,16.0,24.0,1.0,2.0,66.0,90.2,,,,,,6000030.0,134.0,30.3,57.0,12.9,63.0,14.3,147.0,33.3,29.0,6.6,     464,3.0,,,,,,Acton-Boxborough,Luther Conant School
Acton-Boxborough - McCarthy-Towne School,6000015.0,0.0,75.0,64.0,65.0,70.0,73.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0, 06000015,3.5,10.5,9.7,70.6,0.6,0.0,5.1,52.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,34.0,52.0,14.0,22.0,20.0,31.0,23.0,35.0,8.0,12.0,65.0,77.7,,,,,,6000015.0,84.0,17.2,35.0,7.2,77.0,15.8,140.0,28.7,37.0,7.6,     492,2.0,,,,,,Acton-Boxborough,McCarthy-Towne School
Acton-Boxborough - Merriam School,6000010.0,0.0,60.0,63.0,64.0,72.0,96.0,72.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0, 06000010,2.2,19.7,6.2,68.5,0.0,0.2,3.2,52.4,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,43.0,64.0,17.0,25.0,26.0,39.0,18.0,27.0,6.0,9.0,67.0,84.7,,,,,,6000010.0,66.0,13.3,33.0,6.6,72.0,14.5,125.0,25.1,33.0,6.6,     522,0.0,,,,,,Acton-Boxborough,Merriam School
Acton-Boxborough - Paul P Gates Elementary School,6000025.0,0.0,41.0,57.0,65.0,73.0,50.0,47.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0, 06000025,3.0,55.0,5.2,33.3,0.5,0.0,3.0,52.7,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,48.0,69.0,25.0,36.0,23.0,33.0,19.0,27.0,3.0,4.0,70.0,86.8,,,,,,6000025.0,109.0,27.1,61.0,15.2,62.0,15.4,142.0,35.3,44.0,10.9,     415,1.0,,,,,,Acton-Boxborough,Paul P Gates Elementary School
Acton-Boxborough - Raymond J Grey Junior High,6000405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,478.0,0.0,0.0,0.0,0.0,0.0,964.0, 06000405,2.3,34.4,3.5,55.9,0.0,0.0,3.8,51.8,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,326.0,75.0,45.0,10.0,281.0,65.0,95.0,22.0,14.0,3.0,435.0,90.3,,,,,,6000405.0,149.0,15.5,23.0,2.4,153.0,15.9,216.0,22.4,48.0,5.0,     924,9.0,0.6,0.3,0.0,0.0,0.0,Acton-Boxborough,Raymond J Grey Junior High
Acushnet - Acushnet Elementary School,30025.0,51.0,108.0,81.0,99.0,105.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0, 00030025,0.7,0.2,4.4,92.0,0.2,0.0,2.5,52.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30025.0,8.0,1.5,6.0,1.1,79.0,14.4,202.0,36.7,147.0,26.7,     557,0.0,,,,,,Acushnet,Acushnet Elementary School
Acushnet - Albert F Ford Middle School,30305.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,114.0,119.0,77.0,0.0,0.0,0.0,0.0,0.0,413.0, 00030305,1.0,0.0,1.9,96.4,0.0,0.0,0.7,53.5,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,94.0,43.0,17.0,8.0,77.0,35.0,110.0,50.0,14.0,6.0,218.0,76.7,,,,,,30305.0,2.0,0.5,1.0,0.2,60.0,14.5,136.0,32.9,101.0,24.5,     426,1.0,,,,,,Acushnet,Albert F Ford Middle School
Adams-Cheshire - Cheshire Elementary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,15.0,43.0,0.0,0.0,15.0,43.0,16.0,46.0,4.0,11.0,35.0,75.0,,,,,,,,,,,,,,,,,     260,0.0,,,,,,Adams-Cheshire,Cheshire Elementary
Adams-Cheshire - Hoosac Valley Elementary School,6030020.0,53.0,85.0,79.0,80.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0, 06030020,3.5,0.5,2.5,89.8,0.0,0.2,3.5,50.4,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6030020.0,3.0,0.7,1.0,0.2,108.0,26.8,266.0,66.0,218.0,54.1,,,,,,,,Adams-Cheshire,Hoosac Valley Elementary School
Adams-Cheshire - Hoosac Valley High School,6030505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,52.0,64.0,95.0,85.0,6.0,417.0, 06030505,5.8,2.2,2.2,89.4,0.2,0.0,0.2,49.6,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6030505.0,4.0,1.0,4.0,1.0,97.0,23.3,197.0,47.2,166.0,39.8,,,,,,,,Adams-Cheshire,Hoosac Valley High School
Adams-Cheshire - Hoosac Valley Middle & High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,      93,     142,58.0,23.0,10.0,2.0,0.0,,40.0,50.0,32.0,15.0,5.0,63.4,36.6,     321,6.0,1.9,1.6,2.1,2.4,1.3,        78,79.5,15.4,0.0,0.0,5.1,0.0,79.0,65.0,82.3,0.0,26.2,43.1,30.8,41.5,20.0,4.6,SCIENCE AND TECH/ENG,60.0,34.0,11.0,6.0,49.0,28.0,69.0,40.0,45.0,26.0,174.0,65.2,,,520.0,,532.0,,,,,,,,,,,,     644,90.0,11.2,5.9,0.0,0.0,0.0,Adams-Cheshire,Hoosac Valley Middle & High School
Adams-Cheshire - Hoosac Valley Middle School,6030315.0,0.0,0.0,0.0,0.0,0.0,111.0,106.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0, 06030315,4.0,0.0,3.0,91.8,0.2,0.0,1.0,51.4,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6030315.0,1.0,0.2,1.0,0.2,103.0,25.7,243.0,60.6,210.0,52.4,,,,,,,,Adams-Cheshire,Hoosac Valley Middle School
